央视频道,#genre#
CCTV1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1综合,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1综合,http://106.115.25.165:9999/tsfile/live/1000_1.m3u8
CCTV1综合,http://106.115.25.221:9999/tsfile/live/1000_1.m3u8
CCTV1综合,http://106.115.25.33:9999/tsfile/live/1000_1.m3u8
CCTV1综合,http://106.115.26.98:9999/tsfile/live/1000_1.m3u8
CCTV1综合,http://106.115.27.203:9999/tsfile/live/1000_1.m3u8
CCTV1综合,http://113.128.226.58:8888/newlive/live/hls/2/live.m3u8
CCTV1综合,http://120.87.97.245:8114/GD_CUCC/G_CCTV-1-HQ.m3u8?Authinfo=c3gtWzP4ZEqhfA8KQQ31%2BUzupjo7%2BUJgdhB4Nvw9Ku71fWHq9kVOePd%2BhIoyLKDb&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1712370404326&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=51288c5e40a19340&FvSeid=a9fd557842ccbd93&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=1025&Fsv_chan_hls_se_idx=12&Fsv_TBt=3319536&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-1-HQ&Fsv_CMSID=GD_CUCC
CCTV1综合,http://120.87.97.246:8114/GD_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBVJJZNDYjNTYW0xrj2atp5krmovGfhet3wgtKVBhIbxM&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1714141158688&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=515e96acf29ccb8a&FvSeid=88fe5578aee15bbe&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=4298&Fsv_chan_hls_se_idx=60&Fsv_TBt=8468056&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-1-CQ&Fsv_CMSID=GD_CUCC
CCTV1综合,http://154.yfvodcdn.com:8080/live/jsydcctv1/hls.m3u8
CCTV1综合,http://183.94.1.118:8801/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://49.87.154.246:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://66.165.240.154:8080/live/jsydcctv1/hls.m3u8
CCTV1综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV2财经,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2财经,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2财经,http://106.115.25.165:9999/tsfile/live/1001_1.m3u8
CCTV2财经,http://106.115.25.221:9999/tsfile/live/1001_1.m3u8
CCTV2财经,http://106.115.25.33:9999/tsfile/live/1001_1.m3u8
CCTV2财经,http://106.115.26.98:9999/tsfile/live/1001_1.m3u8
CCTV2财经,http://106.115.27.203:9999/tsfile/live/1001_1.m3u8
CCTV2财经,http://113.128.226.58:8888/newlive/live/hls/3/live.m3u8
CCTV2财经,http://171.116.58.215:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://183.94.1.118:8801/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://221.4.143.69:8114/GD_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBa03tuFR%2Fdsya1OSO0Z1VDEEWNg5ICoftLE%2FdS9%2BOGL0&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1714141587490&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=515e9a069bf67e38&FvSeid=88fe5578aee2f1ef&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=9874&Fsv_chan_hls_se_idx=60&Fsv_TBt=8466752&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-2-CQ&Fsv_CMSID=GD_CUCC
CCTV2财经,http://27.40.16.70:8114/GD_CUCC/G_CCTV-2-HQ.m3u8?Authinfo=c3gtWzP4ZEqhfA8KQQ31%2BV36GfIAvjCSxblXz%2F21tHnpD%2FAl3ucK%2B9HivEOuyyxl&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1712372008921&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=512898e77082d84b&FvSeid=a9fd557842e5ce7c&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=1023&Fsv_chan_hls_se_idx=5&Fsv_TBt=3319008&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-2-HQ&Fsv_CMSID=GD_CUCC
CCTV2财经,http://66.165.240.154:8080/live/jsydcctv2/hls.m3u8
CCTV2财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV3综艺,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3综艺,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3综艺,http://113.128.226.58:8888/newlive/live/hls/4/live.m3u8
CCTV3综艺,http://154.yfvodcdn.com:8080/live/jsydcctv3/hls.m3u8
CCTV3综艺,http://183.94.1.118:8801/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://221.4.143.69:8114/GD_CUCC/G_CCTV-3-HQ.m3u8?Authinfo=c3gtWzP4ZEqhfA8KQQ31%2BWxpRRTmKdeA65HCtw9n7tZYu2aUz4D%2FltCFOMbDB01q&amp;p=GITV&amp;area=GD_CUCC&amp;partnerCode=GD_CUCC&amp;token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&amp;version=0.0.0.0&amp;apkVersion=4.2.19&amp;mac=fc:57:03:56:49:16&amp;multicast=0&amp;platform=LIVE&amp;gAreaId=CHN&amp;gAppChannel=DEFAULT&amp;gSoftTermId=TERMINAL&amp;gManufacturer=Hisense&amp;gModel=IP108H&amp;gMac=fc:57:03:56:49:16&amp;gStbId=00000444000710800001FC5703564916&amp;gOsType=android&amp;gOsVersion=4.4.2&amp;gApiLevel=19&amp;gAppVersionCode=4219&amp;gAppVersionName=4.2.19&amp;gDowngrade=EMERGENCY&amp;gProductLineCode=LIVOD&amp;gRomVersion=3.17.2.4602&amp;gTimestamp=1712372335779&amp;gRequests=1&amp;gThirdPartyCDN=0&amp;gGroupCode=&amp;gUserId=002040101532912&amp;isIty=0&amp;gCityCode=DEFAULT&amp;verType=0&amp;Fsv_Tgid=51289b750f1b21e9&amp;FvSeid=a9fd557842eae9de&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=1104&amp;Fsv_chan_hls_se_idx=11&amp;Fsv_TBt=3319776&amp;Fsv_ShiftEnable=1&amp;Fsv_ShiftTsp=120&amp;Fsv_SV_PARAM1=0&amp;Fsv_otype=0&amp;Provider_id=GD_CUCC&amp;Pcontent_id=G_CCTV-3-HQ&amp;Fsv_CMSID=GD_CUCC
